,views
2016,1477852
1166,1054590
629,1057238
2372,1034009
2174,1029397
2202,820295
1674,21594632
1889,1617292
823,2030154
1544,7265611
460,18830983
1225,933277
159,410563
739,1393541
1720,1623955
1511,1245695
1833,2009552
1392,407419
83,2197377
2290,869310
427,1587823
289,724833
2191,1811178
239,1384333
769,2327025
401,948459
154,3930186
618,577356
2093,987388
1090,208115
295,794615
2358,428279
279,672797
581,1974007
2288,1465808
1286,1194938
2216,1122671
1381,2162439
718,368770
722,611081
595,684929
969,670245
698,875821
976,1145700
1103,981351
950,507746
426,352169
175,13926113
79,762264
593,857400
2265,2759051
1239,1245095
491,5006241
2041,1587090
2386,956539
1519,2060055
824,656851
494,906262
799,953671
1001,802688
847,846544
1537,1585575
1388,1546610
887,1734555
2061,1096198
1743,1209472
1631,2824676
2380,868290
1846,1543588
1501,1463086
1691,1576773
409,904813
12,693341
1546,3213217
404,1069653
1623,1276015
1097,186308
1219,754755
792,420269
951,933319
1209,1065331
2133,1827512
974,1986542
2363,977590
215,753974
2296,640734
1935,1272389
2240,1219102
471,2856240
1529,923663
538,778978
1304,2033797
1130,1995401
990,550740
2396,182975
1008,277326
1433,554360
874,1751030
496,1180127
311,429084
131,1216429
251,1097533
1047,478456
136,727247
647,629753
594,940686
1687,833015
584,384626
810,1226731
2131,1370547
278,996736
359,907147
2328,1426132
1772,1051196
1964,1220746
1263,1171568
350,13155478
2076,2952041
1672,1091065
1998,1453242
1899,1453205
27,2863214
2325,1036236
659,594725
1585,756974
1466,6504999
570,710710
1336,1229865
1842,1024661
1886,1617977
649,957087
868,869847
1718,1399303
890,2462734
1051,983994
827,1104345
1970,684300
1719,1223720
1827,1571516
1748,975953
1749,1222713
1057,2145157
597,4782854
1010,338346
860,1272198
1480,1085152
90,1426390
2089,876021
789,880598
262,282994
711,1876053
1721,2526255
1408,1467971
1705,1219295
148,2627709
2156,2110218
1243,661530
2228,962489
78,1149090
2057,2272081
1354,1648677
2306,1128480
997,1692225
35,580891
1450,686914
234,82488
2019,1805637
323,644637
1808,2482234
1030,550715
1819,1566854
2409,840855
1273,803292
815,1530711
1048,347644
1240,336430
1832,1550060
395,427878
781,348647
1925,1591495
2321,970115
2246,1802516
503,938937
2147,1311426
383,338831
310,375491
1416,1089949
904,984738
520,666784
1229,516355
1779,1824724
1933,1852632
759,667218
189,1687185
1912,1588477
663,2278271
1015,353749
574,3841631
315,456095
742,588691
2050,2019969
2283,1395806
2021,1617536
786,861056
2428,527314
961,487006
26,2885999
2088,1836233
2430,656791
1758,956731
666,2468906
256,13327101
2235,1005451
1809,1159937
1212,2586606
1213,582161
966,7900891
1266,488481
682,1597719
688,427590
863,2442996
498,760493
41,382996
991,1109932
914,790122
99,904520
1802,753002
922,647752
1476,1118305
1613,2012614
720,1021573
1274,1198585
436,406530
1100,3578701
740,532619
2154,1279825
2281,760537
516,1683308
819,2467385
1116,661645
156,1522858
2390,839040
419,1054415
831,1394203
1358,9551344
