,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,num_hiddenlayer,neurons_in_hiddenlayer,neurons_in_inputlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,corr
55,55.0,sgd,mse,relu,relu,1.0,32.0,2.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
56,56.0,sgd,mse,relu,relu,1.0,32.0,2.0,2.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
57,57.0,sgd,mse,relu,relu,1.0,32.0,2.0,2.0,4.0,0.0,,,,,,,,0.5289031736657247
58,58.0,sgd,mse,relu,relu,1.0,32.0,2.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
59,59.0,sgd,mse,relu,relu,1.0,32.0,2.0,2.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
60,60.0,sgd,mse,relu,relu,1.0,32.0,4.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
61,61.0,sgd,mse,relu,relu,1.0,32.0,4.0,2.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
62,62.0,sgd,mse,relu,relu,1.0,32.0,4.0,2.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
63,63.0,sgd,mse,relu,relu,1.0,32.0,4.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
64,64.0,sgd,mse,relu,relu,1.0,32.0,4.0,2.0,10.0,0.0,,,,,,,,0.5289031736657247
65,65.0,sgd,mse,relu,relu,1.0,32.0,7.0,2.0,1.0,0.0,,,,,,,,0.5289031736657247
66,66.0,sgd,mse,relu,relu,1.0,32.0,7.0,2.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
67,67.0,sgd,mse,relu,relu,1.0,32.0,7.0,2.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
68,68.0,sgd,mse,relu,relu,1.0,32.0,7.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
69,69.0,sgd,mse,relu,relu,1.0,32.0,7.0,2.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
70,70.0,sgd,mse,relu,relu,1.0,32.0,10.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
71,71.0,sgd,mse,relu,relu,1.0,32.0,10.0,2.0,2.0,0.0,,,,,,,,0.5289031736657247
72,72.0,sgd,mse,relu,relu,1.0,32.0,10.0,2.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
73,73.0,sgd,mse,relu,relu,1.0,32.0,10.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
74,74.0,sgd,mse,relu,relu,1.0,32.0,10.0,2.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
75,75.0,sgd,mse,relu,relu,1.0,100.0,1.0,2.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
76,76.0,sgd,mse,relu,relu,1.0,100.0,1.0,2.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
77,77.0,sgd,mse,relu,relu,1.0,100.0,1.0,2.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
78,78.0,sgd,mse,relu,relu,1.0,100.0,1.0,2.0,7.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
79,79.0,sgd,mse,relu,relu,1.0,100.0,1.0,2.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
