,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,neurons_in_inputlayer,num_hiddenlayer,neurons_in_hiddenlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,corr,total_runtime
72,70.0,nadam,mse,relu,relu,100.0,100.0,10.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
73,71.0,nadam,mse,relu,relu,100.0,100.0,10.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
74,72.0,nadam,mse,selu,relu,50.0,1.0,1.0,1.0,1.0,0.0,4532055572480.0,4532055572480.0,1204931.75,67.52037048339844,1.0,2128862.5,2.259931802749634,0.5289031736657247,0 days 09:08:40.950942
75,73.0,nadam,mse,selu,relu,50.0,1.0,1.0,1.0,5.0,0.0,4166494453760.0,4166494453760.0,1078982.5,61.084835052490234,1.0,2041199.25,1.3897204399108887,0.5289031736657247,0 days 09:08:40.950942
76,74.0,nadam,mse,selu,relu,50.0,1.0,1.0,1.0,10.0,0.0,4227987931136.0,4227987931136.0,1022179.25,61.24324035644531,1.0,2056207.125,0.9772348403930664,0.5289031736657247,0 days 09:08:40.950942
77,75.0,nadam,mse,selu,relu,50.0,1.0,5.0,1.0,1.0,0.0,4146614239232.0,4146614239232.0,1040215.625,60.53118133544922,1.0,2036323.75,1.127815842628479,0.5289031736657247,0 days 09:08:40.950942
78,76.0,nadam,mse,selu,relu,50.0,1.0,5.0,1.0,5.0,0.0,4156870098944.0,4156870098944.0,1076200.25,60.64287567138672,1.0,2038840.375,1.3438466787338257,0.5289031736657247,0 days 09:08:40.950942
79,77.0,nadam,mse,selu,relu,50.0,1.0,5.0,1.0,10.0,0.0,4407025467392.0,4407025467392.0,1011970.125,62.84895324707031,1.0,2099291.75,0.8197332620620728,0.5289031736657247,0 days 09:08:40.950942
80,78.0,nadam,mse,selu,relu,50.0,1.0,10.0,1.0,1.0,0.0,6483881230336.0,6483881230336.0,1634140.75,99.98302459716797,0.9999999403953552,2546346.75,80.3730239868164,0.5289031736657247,0 days 09:08:40.950942
81,79.0,nadam,mse,selu,relu,50.0,1.0,10.0,1.0,5.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
82,80.0,nadam,mse,selu,relu,50.0,1.0,10.0,1.0,10.0,0.0,4412850307072.0,4412850307072.0,1010140.5625,62.87464141845703,1.0,2100678.5,0.801047682762146,0.5289031736657247,0 days 09:08:40.950942
83,81.0,nadam,mse,selu,relu,50.0,10.0,1.0,1.0,1.0,0.0,6483090604032.0,6483090604032.0,1633898.75,99.9564437866211,1.0,2546191.5,64.47161102294922,0.5289031736657247,0 days 09:08:40.950942
84,82.0,nadam,mse,selu,relu,50.0,10.0,1.0,1.0,5.0,0.0,6133678866432.0,6133678866432.0,1565670.125,94.694091796875,1.0,2476626.5,11.605964660644531,0.5289031736657247,0 days 09:08:40.950942
85,83.0,nadam,mse,selu,relu,50.0,10.0,1.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247,0 days 09:08:40.950942
86,84.0,nadam,mse,selu,relu,50.0,10.0,5.0,1.0,1.0,0.0,5774962589696.0,5774962589696.0,1489273.25,88.78382110595703,1.0,2403115.25,7.223397731781006,0.5289031736657247,0 days 09:08:40.950942
87,85.0,nadam,mse,selu,relu,50.0,10.0,5.0,1.0,5.0,0.0,5983329320960.0,5983329320960.0,1534355.5,92.26934814453125,1.0,2446084.5,9.254205703735352,0.5289031736657247,0 days 09:08:40.950942
