,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,neurons_in_inputlayer,num_hiddenlayer,neurons_in_hiddenlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,corr
48,48.0,adam,mse,relu,relu,1.0,100.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
49,49.0,adam,mse,relu,relu,1.0,100.0,1.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
50,50.0,adam,mse,relu,relu,1.0,100.0,1.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
51,51.0,adam,mse,relu,relu,1.0,100.0,1.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
52,52.0,adam,mse,relu,relu,1.0,100.0,2.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
53,53.0,adam,mse,relu,relu,1.0,100.0,2.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
54,54.0,adam,mse,relu,relu,1.0,100.0,2.0,1.0,4.0,0.0,6484328448000.0,6484328448000.0,1634284.75,99.99919128417969,1.0,2546434.5,142.2701873779297,0.5289031736657247
55,55.0,adam,mse,relu,relu,1.0,100.0,2.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
56,56.0,adam,mse,relu,relu,1.0,100.0,4.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
57,57.0,adam,mse,relu,relu,1.0,100.0,4.0,1.0,2.0,0.0,6484284932096.0,6484284932096.0,1634276.375,99.99855041503906,1.0,2546426.0,130.7334442138672,0.5289031736657247
58,58.0,adam,mse,relu,relu,1.0,100.0,4.0,1.0,4.0,0.0,6483982942208.0,6483982942208.0,1634220.125,99.99420928955078,1.0,2546366.5,102.78034210205078,0.5289031736657247
59,59.0,adam,mse,relu,relu,1.0,100.0,4.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
60,60.0,adam,mse,relu,relu,1.0,100.0,10.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
61,61.0,adam,mse,relu,relu,1.0,100.0,10.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
62,62.0,adam,mse,relu,relu,1.0,100.0,10.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
63,63.0,adam,mse,relu,relu,1.0,100.0,10.0,1.0,10.0,0.0,6483844005888.0,6483844005888.0,1634194.0,99.99222564697266,1.0,2546339.25,97.02997589111328,0.5289031736657247
64,64.0,adam,mse,relu,relu,10.0,1.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
65,65.0,adam,mse,relu,relu,10.0,1.0,1.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
66,66.0,adam,mse,relu,relu,10.0,1.0,1.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
67,67.0,adam,mse,relu,relu,10.0,1.0,1.0,1.0,10.0,0.0,6218985242624.0,6218985242624.0,1582761.5,96.00428771972656,1.0,2493789.25,13.498363494873047,0.5289031736657247
68,68.0,adam,mse,relu,relu,10.0,1.0,2.0,1.0,1.0,0.0,6438328991744.0,6438328991744.0,1625552.25,99.32051849365234,1.0,2537386.25,29.250505447387695,0.5289031736657247
69,69.0,adam,mse,relu,relu,10.0,1.0,2.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
70,70.0,adam,mse,relu,relu,10.0,1.0,2.0,1.0,4.0,0.0,6365098016768.0,6365098016768.0,1611519.625,98.23438262939453,1.0,2522914.5,20.014331817626953,0.5289031736657247
71,71.0,adam,mse,relu,relu,10.0,1.0,2.0,1.0,10.0,0.0,6156976128000.0,6156976128000.0,1570224.75,95.02967071533203,1.0,2481325.5,11.973967552185059,0.5289031736657247
72,72.0,adam,mse,relu,relu,10.0,1.0,4.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
73,73.0,adam,mse,relu,relu,10.0,1.0,4.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
74,74.0,adam,mse,relu,relu,10.0,1.0,4.0,1.0,4.0,0.0,6430041047040.0,6430041047040.0,1623977.5,99.19881439208984,1.0,2535752.5,27.538713455200195,0.5289031736657247
75,75.0,adam,mse,relu,relu,10.0,1.0,4.0,1.0,10.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
76,76.0,adam,mse,relu,relu,10.0,1.0,10.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
77,77.0,adam,mse,relu,relu,10.0,1.0,10.0,1.0,2.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
78,78.0,adam,mse,relu,relu,10.0,1.0,10.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
79,79.0,adam,mse,relu,relu,10.0,1.0,10.0,1.0,10.0,0.0,5983025758208.0,5983025758208.0,1534082.125,92.2287368774414,1.0,2446022.5,9.177640914916992,0.5289031736657247
80,80.0,adam,mse,relu,relu,10.0,10.0,1.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
81,81.0,adam,mse,relu,relu,10.0,10.0,1.0,1.0,2.0,0.0,6474147299328.0,6474147299328.0,1632370.375,99.85130310058594,1.0,2544434.5,48.006622314453125,0.5289031736657247
82,82.0,adam,mse,relu,relu,10.0,10.0,1.0,1.0,4.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
83,83.0,adam,mse,relu,relu,10.0,10.0,1.0,1.0,10.0,0.0,6473413820416.0,6473413820416.0,1632226.625,99.83975982666016,1.0,2544290.5,46.881744384765625,0.5289031736657247
84,84.0,adam,mse,relu,relu,10.0,10.0,2.0,1.0,1.0,0.0,6484385595392.0,6484385595392.0,1634295.375,100.0,0.0,2546445.75,195.98910522460938,0.5289031736657247
85,85.0,adam,mse,relu,relu,10.0,10.0,2.0,1.0,2.0,0.0,6478837055488.0,6478837055488.0,1633250.75,99.91915893554688,1.0,2545356.0,56.66495132446289,0.5289031736657247
86,86.0,adam,mse,relu,relu,10.0,10.0,2.0,1.0,4.0,0.0,6471823654912.0,6471823654912.0,1631931.125,99.81727600097656,1.0,2543978.0,45.18977355957031,0.5289031736657247
87,87.0,adam,mse,relu,relu,10.0,10.0,2.0,1.0,10.0,0.0,6460095332352.0,6460095332352.0,1629723.875,99.64714050292969,1.0,2541671.75,36.8990478515625,0.5289031736657247
