,model_num,optimizer,loss_fn,activation_fn,output_activation_fn,epochs,batch_size,neurons_in_inputlayer,num_hiddenlayer,neurons_in_hiddenlayer,num_dropout_layers,loss,mse_test,mae_test,mape_test,cosine_similarity_test,rmse_test,msle_test,validation_split,input_dimensions,corr,total_runtime
76,76.0,nadam,mse,selu,relu,50.0,1.0,5.0,1.0,5.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
77,77.0,nadam,mse,selu,relu,50.0,1.0,5.0,1.0,10.0,0.0,676368351232.0,676368351232.0,514232.125,43.4277458190918,1.0,822416.1875,0.22194869816303253,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
78,78.0,nadam,mse,selu,relu,50.0,1.0,10.0,1.0,1.0,0.0,4780936134656.0,4780936134656.0,1556599.25,99.98697662353516,0.9979507327079773,2186535.25,85.48877716064453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
79,79.0,nadam,mse,selu,relu,50.0,1.0,10.0,1.0,5.0,0.0,698726940672.0,698726940672.0,528156.125,45.96299362182617,1.0,835898.875,0.23198094964027405,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
80,80.0,nadam,mse,selu,relu,50.0,1.0,10.0,1.0,10.0,0.0,631738138624.0,631738138624.0,489418.9375,38.748870849609375,0.9999999403953552,794819.5625,0.20647674798965454,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
81,81.0,nadam,mse,selu,relu,50.0,10.0,1.0,1.0,1.0,0.0,4781240745984.0,4781240745984.0,1556697.25,99.99790954589844,0.9999999403953552,2186604.75,121.36776733398438,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
82,82.0,nadam,mse,selu,relu,50.0,10.0,1.0,1.0,5.0,0.0,826028982272.0,826028982272.0,554078.4375,43.3181266784668,1.0,908861.375,0.24778595566749573,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
83,83.0,nadam,mse,selu,relu,50.0,10.0,1.0,1.0,10.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
84,84.0,nadam,mse,selu,relu,50.0,10.0,5.0,1.0,1.0,0.0,2414262616064.0,2414262616064.0,1004989.0,58.681488037109375,1.0,1553789.75,1.1097583770751953,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
85,85.0,nadam,mse,selu,relu,50.0,10.0,5.0,1.0,5.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0020491802133619785,2186618.25,195.8008270263672,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
86,86.0,nadam,mse,selu,relu,50.0,10.0,5.0,1.0,10.0,0.0,737168785408.0,737168785408.0,548802.625,49.45263671875,1.0,858585.3125,0.2495131641626358,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
87,87.0,nadam,mse,selu,relu,50.0,10.0,10.0,1.0,1.0,0.0,4781234454528.0,4781234454528.0,1556695.125,99.9976806640625,0.9979507923126221,2186603.5,119.10343933105469,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
88,88.0,nadam,mse,selu,relu,50.0,10.0,10.0,1.0,5.0,0.0,771193765888.0,771193765888.0,547413.625,46.59625244140625,1.0,878176.375,0.24620191752910614,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
89,89.0,nadam,mse,selu,relu,50.0,10.0,10.0,1.0,10.0,0.0,697220464640.0,697220464640.0,522007.5,43.36650848388672,1.0,834997.3125,0.22437435388565063,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
90,90.0,nadam,mse,selu,relu,50.0,32.0,1.0,1.0,1.0,0.0,4781276921856.0,4781276921856.0,1556708.875,99.99919891357422,0.9999999403953552,2186613.0,141.46002197265625,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
91,91.0,nadam,mse,selu,relu,50.0,32.0,1.0,1.0,5.0,0.0,4231030636544.0,4231030636544.0,1451083.125,91.77778625488281,1.0,2056946.875,7.1459174156188965,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
92,92.0,nadam,mse,selu,relu,50.0,32.0,1.0,1.0,10.0,0.0,2981078499328.0,2981078499328.0,1170474.875,70.3411636352539,1.0,1726580.0,1.966616153717041,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
93,93.0,nadam,mse,selu,relu,50.0,32.0,5.0,1.0,1.0,0.0,4781273776128.0,4781273776128.0,1556707.625,99.99909210205078,1.0,2186612.5,138.83132934570312,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
94,94.0,nadam,mse,selu,relu,50.0,32.0,5.0,1.0,5.0,0.0,1096136261632.0,1096136261632.0,632790.1875,40.525665283203125,1.0,1046965.25,0.3458501398563385,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
95,95.0,nadam,mse,selu,relu,50.0,32.0,5.0,1.0,10.0,0.0,1771593924608.0,1771593924608.0,838857.375,49.647708892822266,1.0,1331012.375,0.692687451839447,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
96,96.0,nadam,mse,selu,relu,50.0,32.0,10.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
97,97.0,nadam,mse,selu,relu,50.0,32.0,10.0,1.0,5.0,0.0,1123238281216.0,1123238281216.0,634480.875,40.87131118774414,1.0,1059829.375,0.3395938575267792,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
98,98.0,nadam,mse,selu,relu,50.0,32.0,10.0,1.0,10.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
99,99.0,nadam,mse,selu,relu,50.0,100.0,1.0,1.0,1.0,0.0,4781298417664.0,4781298417664.0,1556715.625,100.0,0.02049180120229721,2186618.0,194.8473358154297,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
100,100.0,nadam,mse,selu,relu,50.0,100.0,1.0,1.0,5.0,0.0,4599757406208.0,4599757406208.0,1524742.5,97.6457748413086,1.0,2144704.5,15.229848861694336,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
101,101.0,nadam,mse,selu,relu,50.0,100.0,1.0,1.0,10.0,0.0,4496473718784.0,4496473718784.0,1504009.125,95.96244812011719,1.0,2120489.0,11.372108459472656,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
102,102.0,nadam,mse,selu,relu,50.0,100.0,5.0,1.0,1.0,0.0,4781285834752.0,4781285834752.0,1556711.5,99.99951171875,0.9979507923126221,2186615.25,151.37298583984375,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
103,103.0,nadam,mse,selu,relu,50.0,100.0,5.0,1.0,5.0,0.0,3773994106880.0,3773994106880.0,1356402.875,84.3965835571289,1.0,1942677.0,4.18743896484375,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
104,104.0,nadam,mse,selu,relu,50.0,100.0,5.0,1.0,10.0,0.0,4141959086080.0,4141959086080.0,1437547.375,90.98603057861328,1.0,2035180.375,6.665162086486816,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
105,105.0,nadam,mse,selu,relu,50.0,100.0,10.0,1.0,1.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0020491802133619785,2186618.25,195.7533416748047,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
106,106.0,nadam,mse,selu,relu,50.0,100.0,10.0,1.0,5.0,0.0,4563868844032.0,4563868844032.0,1516949.375,96.97591400146484,1.0,2136321.25,13.386228561401367,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
107,107.0,nadam,mse,selu,relu,50.0,100.0,10.0,1.0,10.0,0.0,3594058989568.0,3594058989568.0,1323414.25,82.2322006225586,1.0,1895800.375,3.6798038482666016,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
108,108.0,nadam,mse,selu,relu,100.0,1.0,1.0,1.0,1.0,0.0,4780592726016.0,4780592726016.0,1556489.625,99.97479248046875,0.9959015846252441,2186456.75,73.9963607788086,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
109,109.0,nadam,mse,selu,relu,100.0,1.0,1.0,1.0,5.0,0.0,4781298941952.0,4781298941952.0,1556715.875,100.0,0.0,2186618.25,195.8067169189453,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
110,110.0,nadam,mse,selu,relu,100.0,1.0,1.0,1.0,10.0,0.0,656200499200.0,656200499200.0,504124.5,41.58218002319336,1.0,810062.0625,0.21352344751358032,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
111,111.0,nadam,mse,selu,relu,100.0,1.0,5.0,1.0,1.0,0.0,669498146816.0,669498146816.0,510513.3125,42.7843132019043,1.0,818228.6875,0.21988946199417114,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
112,112.0,nadam,mse,selu,relu,100.0,1.0,5.0,1.0,5.0,0.0,633949126656.0,633949126656.0,485375.875,39.49718475341797,1.0,796209.25,0.20116814970970154,0.2,28.0,0.5289031736657247,0 days 11:38:05.659393
